"City	Latitude	Longitude	2018	2014	2010	2006	2002	1998	1994"
"New York 	40.8685213	-73.9312518	8.58	8.47	8.19	8.25	8.09	7.4	7.34"
"Los Angeles	33.946184	-118.381606	4.03	3.92	3.79	3.77	3.76	3.59	3.54"
"Chicago 	41.9283757	-87.7072692	2.68	2.71	2.69	2.8	2.88	2.8	2.79"
"Houston 	29.7801026	-95.5467989	2.34	2.24	2.1	2.16	2	1.82	1.77"
"Phoenix	33.4516455	-112.0708314	1.67	1.55	1.45	1.51	1.37	1.19	1.09"
"Philadelphia	39.9973055	-76.3555997	1.57	1.56	1.52	1.52	1.51	1.43	1.52"
"San Antonio 	29.3696242	-98.3991489	1.54	1.43	1.33	1.29	1.2	1.82	1.07"
"San Diego	32.7338006	-117.1933038	1.43	1.37	1.3	1.29	1.25	1.21	1.15"
"Dallas 	32.845245	-96.7849128	1.35	1.27	1.2	1.25	1.2	1.07	1.03"
"San Jose	37.3309547	-121.8875223	1.03	1.01	0.95	0.910.9	0.8"
"Austin 	30.442344	-97.769885	0.98	0.91	0.81	0.73	0.68	0.57	0.54"
"Jacksonville	30.2612727	-81.5879488	0.9	0.85	0.82	0.79	0.75	0.71	0.67"
"Fort Worth 	32.7523841	-97.3291748	0.89	0.81	0.74	0.65	0.57	0.49	0.46"
"San Francisco	37.7785999	-122.4208	0.88	0.85	0.8	0.78	0.77	0.77	0.74"
"Columbus 	39.9632438	-82.9958895	0.87	0.83	0.79	0.74	0.72	0.67	0.65"
